"filename", "language", "JSON with Comments", "JavaScript", "Batch", "Markdown", "JSON", "HTML", "CSS", "Database", "XML", "CSV", "comment", "blank", "total"
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\dragon\fish.js", "JavaScript", 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 87
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\dragon\name.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\dragon\search.js", "JavaScript", 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 116
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\dragon\stroke.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\dragon\tame.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\dragon\upgrade.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 34
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\economy\balance.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\economy\buy.js", "JavaScript", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4, 73
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\economy\coinflip.js", "JavaScript", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 58
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\economy\daily.js", "JavaScript", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 59
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\economy\deposit.js", "JavaScript", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 41
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\economy\divorce.js", "JavaScript", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 72
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\economy\dose.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\economy\items.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 40
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\economy\lowhigh.js", "JavaScript", 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 98
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\economy\marry.js", "JavaScript", 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 88
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\economy\pay.js", "JavaScript", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 50
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\economy\rob.js", "JavaScript", 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 98
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\economy\sell.js", "JavaScript", 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 91
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\economy\sentence.js", "JavaScript", 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 153
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\economy\shop.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"c:\Users\Ethan\OneDrive - St John Payne Catholic School\Documents\GitHub\economist-rewrite\src\cmds\economy\spouse.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
