Date : 2022-02-09 12:46:41
Directory : c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite
Total : 204 files,  24282 codes, 872 comments, 4459 blanks, all 29613 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\economy\dose.js                            | JavaScript         |         34 |          0 |          1 |         35 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\economy\items.js                           | JavaScript         |         37 |          0 |          3 |         40 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\economy\lowhigh.js                         | JavaScript         |         93 |          2 |          3 |         98 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\economy\marry.js                           | JavaScript         |         85 |          0 |          3 |         88 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\economy\pay.js                             | JavaScript         |         49 |          0 |          1 |         50 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\economy\rob.js                             | JavaScript         |         94 |          3 |          1 |         98 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\economy\sell.js                            | JavaScript         |         88 |          1 |          2 |         91 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\economy\sentence.js                        | JavaScript         |        144 |          4 |          5 |        153 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\economy\shop.js                            | JavaScript         |         27 |          0 |          1 |         28 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\economy\spouse.js                          | JavaScript         |         23 |          0 |          1 |         24 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\economy\steal.js                           | JavaScript         |         33 |          0 |          1 |         34 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\economy\vault.js                           | JavaScript         |         25 |          0 |          1 |         26 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\economy\vupgrade.js                        | JavaScript         |         69 |          0 |          3 |         72 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\economy\withdraw.js                        | JavaScript         |         36 |          0 |          3 |         39 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\fun\8ball.js                               | JavaScript         |         41 |          0 |          2 |         43 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\fun\addquote.js                            | JavaScript         |         31 |          0 |          1 |         32 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\fun\avatar.js                              | JavaScript         |         22 |          0 |          1 |         23 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\fun\bio.js                                 | JavaScript         |         36 |          1 |          1 |         38 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\fun\cat.js                                 | JavaScript         |         22 |          0 |          1 |         23 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\fun\covid.js                               | JavaScript         |         48 |          0 |          1 |         49 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\fun\hug.js                                 | JavaScript         |         31 |          0 |          1 |         32 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\fun\hyphen.js                              | JavaScript         |         25 |          0 |          1 |         26 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\fun\profile.js                             | JavaScript         |         38 |          2 |          1 |         41 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\fun\quote.js                               | JavaScript         |         38 |          2 |          1 |         41 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\fun\quotes.js                              | JavaScript         |         22 |          0 |          1 |         23 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\fun\removequote.js                         | JavaScript         |         34 |          0 |          1 |         35 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\fun\roast.js                               | JavaScript         |         44 |          0 |          1 |         45 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\utilities\addemoji.js                      | JavaScript         |         18 |          0 |          1 |         19 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\utilities\addreplacer.js                   | JavaScript         |          6 |         16 |          1 |         23 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\utilities\assign.js                        | JavaScript         |         48 |          0 |          1 |         49 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\utilities\banlist.js                       | JavaScript         |         39 |          0 |          1 |         40 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\utilities\bug.js                           | JavaScript         |         49 |          0 |          1 |         50 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\utilities\calculate.js                     | JavaScript         |         21 |          0 |          1 |         22 |
| c:\Users\Ethan\OneDrive - E\Documents\GitHub\economist-rewrite\src\cmds\utilities\clrs.js                          | JavaScript         |         23 |          2 |          1 |         26 |
